practice,city,state,zip,consolidator,investor
Thrive Catonsville,Catonsville,MD,21228,Thrive Pet Healthcare,TSG Consumer Partners
Chesapeake Veterinary Hospital,Chester,MD,21619,Blue River PetCare,Partners Group
CityVet - Chevy Chase,Chevy Chase,MD,20815,CityVet,RiverGlade Capital
Livewell Animal Hospital of Chevy Chase,Chevy Chase,MD,20815,Mission Pet Health,Silver Lake and Shore Capital Partners
Churchville Veterinary Clinic,Churchville,MD,21028,NVA,JAB Holdings
Chesapeake Veterinary Surgical Specialists - Hunt Valley,Cockeysville,MD,21030,Ethos Veterinary Health,JAB Holdings
CVCA Cardiac Care For Pets,Cockeysville,MD,21030,Mission Pet Health,Silver Lake and Shore Capital Partners
Eye Care for Animals - York Road,Cockeysville,MD,21030,Thrive Pet Healthcare,TSG Consumer Partners
Hunt Valley Animal Hospital,Cockeysville,MD,21030,Innovetive Pet Care,Metalmark Capital
Pet+ER - Hunt Valley,Cockeysville,MD,21030,Ethos Veterinary Health,JAB Holdings
College Park Animal Hospital,College Park,MD,20740,VetCor,Harvest Partners
Basin Run Animal Hospital,Colora,MD,21917,VetCor,Harvest Partners
Banfield Columbia,Columbia,MD,21046,Banfield,Mars
Cat & Dog Hospital of Columbia,Columbia,MD,21045,Heartland Veterinary Partners,Gryphon Investors
Chesapeake Veterinary Surgical Specialists – Columbia CLOSED,Columbia,MD,21046,Ethos Veterinary Health,JAB Holdings
Eye Care for Animals - Columbia,Columbia,MD,21045,Thrive Pet Healthcare,TSG Consumer Partners
Hickory Ridge Animal Hospital,Columbia,MD,21044,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Columbia Animal Hospital at Centre Park,Columbia,MD,21045,VCA,Mars
VCA Columbia Animal Hospital at Hickory Ridge,Columbia,MD,21044,VCA,Mars
VCA Lewis Animal Hospital,Columbia,MD,21044,VCA,Mars
VEG Columbia,Columbia,MD,21075,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Crofton Veterinary Center,Crofton,MD,21114,VetCor,Harvest Partners
Community Animal Hospital,Easton,MD,21601,VetEvolve,Varsity Healthcare Partners
Easton Veterinary Clinic and Rehabilitation Center,Easton,MD,21601,Suveto,Levine Leichtman Capital
CVCA Edgewater,Edgewater,MD,21037,Mission Pet Health,Silver Lake and Shore Capital Partners
PetMedic Edgewater,Edgewater,MD,21037,PetMedic Urgent Care,Undisclosed
VCA South Arundel Animal Hospital,Edgewater,MD,21037,VCA,Mars
Eldersburg Veterinary Hospital,Eldersburg,MD,21784,VetEvolve,Varsity Healthcare Partners
Equine Veterinary Care,Elkton,MD,21921,NVA,JAB Holdings
North East Animal Hospital,Elkton,MD,21921,CareVet,Compass Group Equity Partners
Banfield Ellicott City,Ellicott City,MD,21042,Banfield,Mars
Bethany Centennial Animal Hospital,Ellicott City,MD,21042,VetCor,Harvest Partners
Emergency Animal Hospital of Ellicott City,Ellicott City,MD,21042,VetEvolve,Varsity Healthcare Partners
Emmitsburg Veterinary Hospital,Emmitsburg,MD,21727,VetCor,Harvest Partners
Essex Middle River Veterinary Center,Essex,MD,21221,VetEvolve,Varsity Healthcare Partners
Fallston Veterinary Clinic,Fallston,MD,21047,Veterinary Practice Partners,Audax Private Equity
Indian Head Animal Hospital,Fort Washington,MD,20744,Suveto,Levine Leichtman Capital
Banfield Frederick,Frederick,MD,21704,Banfield,Mars
Banfield Frederick N,Frederick,MD,21701,Banfield,Mars
BluePearl Pet Hospital Frederick,Frederick,MD,21701,BluePearl Pet Hospital,Mars
Care Veterinary Center,Frederick,MD,21703,Thrive Pet Healthcare,TSG Consumer Partners
CVCA Cardiac Care For Pets,Frederick,MD,21704,Mission Pet Health,Silver Lake and Shore Capital Partners
Glade Valley Animal Hospital,Frederick,MD,21701,Mission Pet Health,Silver Lake and Shore Capital Partners
Greenbriar Luxury Pet Resort,Frederick,MD,21704,Thrive Pet Healthcare,TSG Consumer Partners
Skylos Sports Medicine - Frederick,Frederick,MD,21701,BluePearl Pet Hospital,Mars
Thrive Pet Healthcare Frederick CLOSED,Frederick,MD,21701,Thrive Pet Healthcare,TSG Consumer Partners
West Frederick Veterinary Hospital,Frederick,MD,21702,NVA,JAB Holdings
Yellow Springs Veterinary Clinic,Frederick,MD,21702,VetCor,Harvest Partners
Banfield Gaithersburg,Gaithersburg,MD,20878,Banfield,Mars
CVCA Cardiac Care For Pets,Gaithersburg,MD,20877,Mission Pet Health,Silver Lake and Shore Capital Partners
Gaithersburg Animal Hospital,Gaithersburg,MD,20877,VetCor,Harvest Partners
Kentlands Veterinary Hospital,Gaithersburg,MD,20878,Mission Pet Health,Silver Lake and Shore Capital Partners
Lake Forest Animal Hospital,Gaithersburg,MD,20879,Mission Pet Health,Silver Lake and Shore Capital Partners
Veterinary Referral Associates,Gaithersburg,MD,20877,PetVet Care Centers,KKR
Veterinary Surgical Centers - Gaithersburg,Gaithersburg,MD,20878,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Animal Dermatology Clinic,Gambrills,MD,21054,Animal Dermatology Clinic,Percheron Capital
Banfield Germantown,Germantown,MD,20876,Banfield,Mars
Thrive Pet Healthcare Germantown,Germantown,MD,20874,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Glen Burnie,Glen Burnie,MD,21060,Banfield,Mars
Banfield Glen Burnie Southdale,Glen Burnie,MD,21060,Banfield,Mars
Glen Burnie Animal Hospital,Glen Burnie,MD,21061,VetCor,Harvest Partners
"Animal Medical Hospital at Glenwood, Inc",Glenwood,MD,21738,EverVet Partners,Freeman Spogli and Tailwind Capital
Banfield Greenbelt,Greenbelt,MD,20770,Banfield,Mars
Banfield Hagerstown,Hagerstown,MD,21740,Banfield,Mars
Longmeadow Animal Hospital,Hagerstown,MD,21742,NVA,JAB Holdings
Mid-Atlantic Veterinary Hospital,Hagerstown,MD,21740,Heart + Paw,Waud Capital Partners
Banfield Arundel Mills,Hanover,MD,21076,Banfield,Mars
Swan Creek Veterinary Clinic,Havre de Grace,MD,21078,NVA,JAB Holdings
VCA Three Notch Animal Hospital,Hollywood,MD,20636,VCA,Mars
Atlantic Veterinary Internal Medicine & Oncology – Hunt Valley,Hunt Valley,MD,21030,Ethos Veterinary Health,JAB Holdings
Potomac Animal Wellness Services (PAWS),Indian Head,MD,20640,Suveto,Levine Leichtman Capital
Premier Pet,Jessup,MD,20794,Destination Pet,L1 Health
Animal Care Center & Pet Resort,Joppatowne,MD,21085,EverVet Partners,Freeman Spogli and Tailwind Capital
Banfield Kensington,Kensington,MD,20895,Banfield,Mars
Wheaton Animal Hospital,Kensington,MD,20895,VetEvolve,Varsity Healthcare Partners
Celebrie Veterinary Hospital,Kingsville,MD,21087,CareVet,Compass Group Equity Partners
Banfield Largo,Largo,MD,20774,Banfield,Mars
Banfield Laurel,Laurel,MD,20707,Banfield,Mars
Banfield Maryland City Plaza,Laurel,MD,20724,Banfield,Mars
North Laurel Animal Hospital,Laurel,MD,20723,VetCor,Harvest Partners
"Rocky Gorge Animal Hospital, Resort & Spa",Laurel,MD,20707,NVA,JAB Holdings
Laytonsville Veterinary Practice,Laytonsville,MD,20882,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA St. Mary's Animal Hospital,Lexington Park,MD,20653,VCA,Mars
Banfield Timonium,Lutherville,MD,21093,Banfield,Mars
Manchester Veterinary Services,Manchester,MD,21102,VetEvolve,Varsity Healthcare Partners
Companion Care Veterinary Hospital,Mechanicsville,MD,20659,Heartland Veterinary Partners,Gryphon Investors
Manor Equine Hospital,Monkton,MD,21111,PetVet Care Centers,KKR
"Mount Airy Veterinary Associates, Inc.",Mt Airy,MD,21771,VetEvolve,Varsity Healthcare Partners
Country Veterinary Hospital,Mt. Airy,MD,21771,VetCor,Harvest Partners
Linganore Veterinary Clinic,New Market,MD,21774,VetCor,Harvest Partners
Fullerton Animal Hospital,Nottingham,MD,21236,Mission Pet Health,Silver Lake and Shore Capital Partners
Odenton Veterinary Hospital,Odenton,MD,21113,Blue River PetCare,Partners Group
Banfield Olney,Olney,MD,20832,Banfield,Mars
Town & Country Animal Clinic,Olney,MD,20832,VetCor,Harvest Partners
Calvert Animal Hospital,Owings,MD,20736,VetCor,Harvest Partners
Chesapeake Animal Clinic,Owings,MD,20736,VetCor,Harvest Partners
Owings Mills Veterinary Center,Owings Mills,MD,21208,United Veterinary Care,Nordic Capital
Northwind Animal Hospital,Parkville,MD,21234,Mission Pet Health,Silver Lake and Shore Capital Partners
Huffard Animal Hospital,Pasadena,MD,21122,NVA,JAB Holdings
Lake Shore Pet Hospital,Pasadena,MD,21122,VetCor,Harvest Partners
VCA Calvert Veterinary Center,Pasadena,MD,21122,VCA,Mars
Peaceful Passage,Pikesville,MD,21208,Blue River PetCare,Partners Group
Pikesville Animal Hospital,Pikesville,MD,21208,EverVet Partners,Freeman Spogli and Tailwind Capital
Pikesville Animal Hospital Grooming,Pikesville,MD,21208,EverVet Partners,Freeman Spogli and Tailwind Capital
VEG Pikesville,Pikesville,MD,21208,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Falls Road Veterinary Hospital,Potomac,MD,20854,Thrive Pet Healthcare,TSG Consumer Partners
Main Street Veterinary Hospital,Reisterstown,MD,21136,Mission Pet Health,Silver Lake and Shore Capital Partners
Caroline Veterinary Clinic,Ridgely,MD,21660,Heart + Paw,Waud Capital Partners
Lynn Animal Hospital,Riverdale,MD,20737,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Rockville Travilah Sq,Rockville,MD,20850,Banfield,Mars
BluePearl Pet Hospital Rockville,Rockville,MD,20850,BluePearl Pet Hospital,Mars
Bush Veterinary Neurology Service (BVNS) – Rockville,Rockville,MD,20850,Ethos Veterinary Health,JAB Holdings
Caring Hands Animal Hospital - Rockville,Rockville,MD,20852,Veterinary Practice Partners,Audax Private Equity
CVCA Cardiac Care for Pets - Rockville,Rockville,MD,20850,Mission Pet Health,Silver Lake and Shore Capital Partners
Dermatology for Animals Rockville,Rockville,MD,20852,Thrive Pet Healthcare,TSG Consumer Partners
Dr. Boyd's Veterinary Resort,Rockville,MD,20852,Mission Pet Health,Silver Lake and Shore Capital Partners
Kenhaven Animal Hospital,Rockville,MD,20852,VetCor,Harvest Partners
Metropolitan Animal Emergency and Specialty Center,Rockville,MD,20852,Thrive Pet Healthcare,TSG Consumer Partners
Nebel Street Animal Hospital,Rockville,MD,20852,Destination Pet,L1 Health
VCA North Rockville Animal Hospital,Rockville,MD,20850,VCA,Mars
Banfield Salisbury Centre,Salisbury,MD,21801,Banfield,Mars
Johnson-McKee Animal Hospital,Salisbury,MD,21804,NVA,JAB Holdings
VCA Telegraph Road Animal Hospital,Severn,MD,21144,VCA,Mars
Vetco Total Care - Severna Park,Severna Park,MD,21146,Vetco Total Care,Petco
Banfield Calverton,Silver Spring,MD,20904,Banfield,Mars
Fairland Animal Hospital,Silver Spring,MD,20904,EverVet Partners,Freeman Spogli and Tailwind Capital
GoodVets Silver Spring,Silver Spring,MD,20910,GoodVets,General Atlantic
Solomons Veterinary Medical Center,Solomons,MD,20688,VetCor,Harvest Partners
All Pets Veterinary Hospital,St Michaels,MD,21663,Heart + Paw,Waud Capital Partners
VCA Coolridge Animal Hospital,Temple Hills,MD,20748,VCA,Mars
Lutherville Animal Hospital,Timonium,MD,21093,VetCor,Harvest Partners
Lutherville Animal Hospital,Timonium,MD,21093,VetCor,Harvest Partners
Animal Dental Center – Towson (ADC),Towson,MD,21286,Ethos Veterinary Health,JAB Holdings
Banfield Towson,Towson,MD,21286,Banfield,Mars
All Paws Veterinary Center,Upper Marlboro,MD,20772,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Waldorf,Waldorf,MD,20603,Banfield,Mars
St. Charles Animal Hospital,Waldorf,MD,20602,VetCor,Harvest Partners
Walkersville Veterinary Clinic,Walkersville,MD,21793,VetEvolve,Varsity Healthcare Partners
Muddy Creek Animal Hospital,West River,MD,20778,United Veterinary Care,Nordic Capital
Banfield Westminster,Westminster,MD,21157,Banfield,Mars
Westminster Veterinary Hospital,Westminster,MD,21157,VetCor,Harvest Partners
Kindness Animal Hospital,Wheaton,MD,20902,VetCor,Harvest Partners
Mann Memorial Veterinary Clinic,Arundel,ME,04046,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Auburn Animal Center,Auburn,ME,04210,VetCor,Harvest Partners
Taylor Brook Animal Hospital,Auburn,ME,04210,VetCor,Harvest Partners
Broadway Veterinary Clinic,Bangor,ME,04401,Veterinary Practice Partners,Audax Private Equity
Acadia Veterinary Hospital,Bar Harbor,ME,04609,VetCor,Harvest Partners
VCA Bath Animal Hospital,Bath,ME,04530,VCA,Mars
Lucky Pet Animal Hospital,Berwick,ME,03901,VetCor,Harvest Partners
Bethel Animal Hospital,Bethel,ME,04217,VetCor,Harvest Partners
Maine Coast Veterinary Hospital,Blue Hill,ME,04614,VetCor,Harvest Partners
Boothbay Animal Hospital,Boothbay,ME,04537,VetCor,Harvest Partners
Brewer Veterinary Clinic,Brewer,ME,04412,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Bath-Brunswick Veterinary Associates,Brunswick,ME,04011,Mission Pet Health,Silver Lake and Shore Capital Partners
Sunray Animal Clinic,Brunswick,ME,04011,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Cumberland Animal Clinic,Cumberland,ME,04021,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Westside Animal,Cumberland,ME,04021,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Lucerne Veterinary Hospital,Dedham,ME,04429,VetCor,Harvest Partners
Deer Isle Veterinary Clinic,Deer Isle,ME,04627,VetCor,Harvest Partners
Foxcroft Veterinary Services,Dover-Foxcroft,ME,04426,VetCor,Harvest Partners
Hometown Veterinary Care,Fairfield,ME,04937,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Falmouth Veterinary Hospital,Falmouth,ME,04105,Rarebreed Veterinary Partners,Revelstoke Capital Partners
CareVet of Freeport,Freeport,ME,04032,CareVet,Compass Group Equity Partners
PetMedic Urgent Care Vet Clinic - Freeport,Freeport,ME,04032,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Fryeburg Veterinary Hospital,Fryeburg,ME,04037,Mission Pet Health,Silver Lake and Shore Capital Partners
Gray Animal Center,Gray,ME,04039,CareVet,Compass Group Equity Partners
Gray-New Gloucester Animal Hospital,Gray,ME,04039,VetCor,Harvest Partners
Hampden Veterinary Clinic,Hampden,ME,04444,VetCor,Harvest Partners
Eastern Maine Emergency Veterinary Clinic,Holden,ME,04429,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Hotham's Veterinary Services - Houlton,Houlton,ME,04730,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Kennebunk Veterinary Hospital,Kennebunk,ME,04043,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Piscataqua Animal Hospital,Kittery,ME,03904,United Veterinary Care,Nordic Capital
Animal Emergency Clinic of Mid-Maine,Lewiston,ME,04240,VetCor,Harvest Partners
Lisbon Road Animal Hospital,Lewiston,ME,04240,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Lewiston Animal Hospital,Lewiston,ME,04240,VCA,Mars
Southern Maine Veterinary Care,Lyman,ME,04002,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Madison Animal Hospital,Madison,ME,04950,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Naples Veterinary Clinic,Naples,ME,04055,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Moosehead Trail Veterinary Hospital,Newport,ME,04953,VetCor,Harvest Partners
Blake Vets,Northport,ME,04849,CareVet,Compass Group Equity Partners
Norway Veterinary Hospital,Norway,ME,04268,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Bucksport Veterinary Hospital,Orland,ME,04472,Veterinary Practice Partners,Audax Private Equity
Kindred Spirits Veterinary Clinic,Orrington,ME,04474,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Poland Animal Hospital,Poland,ME,04274,VetCor,Harvest Partners
Back Cove Animal Hospital,Portland,ME,04101,NVA,JAB Holdings
Brackett Street Veterinary Clinic,Portland,ME,04102,VetCor,Harvest Partners
Brackett West Veterinary Clinic,Portland,ME,04103,VetCor,Harvest Partners
Happy Tails Portland,Portland,ME,04103,Destination Pet,L1 Health
Portland PetMedic Urgent Care Vet Clinic,Portland,ME,04101,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Portland Veterinary Emergency and Specialty Care,Portland,ME,04103,COVE Animal Health,Chicago Pacific Founders
Roscoe's Bed and Bark,Portland,ME,04102,Destination Pet,L1 Health
The Cat Doctor,Portland,ME,04102,VetCor,Harvest Partners
Hotham's Veterinary Services,Presque Isle,ME,04769,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Rockland Animal Hospital,Rockland,ME,04841,VetCor,Harvest Partners
PenBay Veterinary Associates,Rockport,ME,04856,VetCor,Harvest Partners
Maine Veterinary Medical Center,Scarborough,ME,04074,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Mutty Paws Academy,Scarborough,ME,04074,Destination Pet,L1 Health
Pine Point Animal Hospital,Scarborough,ME,04074,Mission Pet Health,Silver Lake and Shore Capital Partners
Scarborough Animal Hospital,Scarborough,ME,04074,Mission Pet Health,Silver Lake and Shore Capital Partners
Tender Touch Veterinary Hospital,Scarborough,ME,04074,VetCor,Harvest Partners
Cape Veterinary Clinic,South Portland,ME,04106,Mission Pet Health,Silver Lake and Shore Capital Partners
Harbor Road Veterinary Hospital,South Thomaston,ME,04858,VetCor,Harvest Partners
VCA Standish Animal Hospital,Standish,ME,04084,VCA,Mars
Androscoggin Animal Hospital,Topsham,ME,04086,United Veterinary Care,Nordic Capital
Veazie Veterinary Clinic,Veazie,ME,04401,Suveto,Levine Leichtman Capital
Midcoast Animal Emergency Clinic,Warren,ME,04864,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Post Road Veterinary Clinic,Wells,ME,04090,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Wells Dog And Cat Hospital,Wells,ME,04090,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
At Home Veterinary Care,West Gardiner,ME,04345,VetCor,Harvest Partners
Stoneledge Animal Hospital,Westbrook,ME,04092,Rarebreed Veterinary Partners,Revelstoke Capital Partners
North Windham Veterinary Hospital,Windham,ME,04062,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Garland Road Small Animal Hospital,Winslow,ME,04901,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Winthrop Veterinary Hospital,Winthrop,ME,04364,Blue River PetCare,Partners Group
Kelly Veterinary Clinic,Adrian,MI,49221,Encore Vet Group,North Castle Partners
Rogue Valley Veterinary Hospital,Algoma Township,MI,49341,Blue River PetCare,Partners Group
Allegan Veterinary Clinic,Allegan,MI,49010,NVA,JAB Holdings
Healing Care Animal Hospital,Allen Park,MI,48101,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
VCA Allen Park Animal Hospital,Allen Park,MI,48101,VCA,Mars
VCA Allendale Animal Hospital,Allendale,MI,49401,VCA,Mars
State Road Animal Hospital,Alma,MI,48801,O'Brien Veterinary Group,Family owned corporate consolidator
Arbor Hills Animal Clinic,Ann Arbor,MI,48105,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Ann Arbor,Ann Arbor,MI,48103,Banfield,Mars
BluePearl Pet Hospital Ann Arbor,Ann Arbor,MI,48108,BluePearl Pet Hospital,Mars
BreedAbove,Ann Arbor,MI,48103,NVA,JAB Holdings
Stadium Veterinary Services,Ann Arbor,MI,48103,Blue River PetCare,Partners Group
VEG Ann Arbor,Ann Arbor,MI,48103,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
BluePearl Pet Hospital Auburn Hills,Auburn Hills,MI,48326,BluePearl Pet Hospital,Mars
Berrien Veterinary Services,Baroda,MI,49101,VetCor,Harvest Partners
VetMED Veterinary Hospital,Bay City,MI,48706,Mission Pet Health,Silver Lake and Shore Capital Partners
Great Lakes Hospital for Animals,Belmont,MI,49306,NVA,JAB Holdings
Nickerson Animal Health Center,Benton Harbor,MI,49022,NVA,JAB Holdings
Betsie River Veterinary Clinic,Benzonia,MI,49616,O'Brien Veterinary Group,Family owned corporate consolidator
Frankenmuth-Birch Run Veterinary Hospital,Birch Run,MI,48415,CareVet,Compass Group Equity Partners
Gasow Veterinary Hospital,Birmingham,MI,48009,Mission Pet Health,Silver Lake and Shore Capital Partners
Ross Hospital for Animals,Bloomfield Hills,MI,48302,Blue River PetCare,Partners Group
Lake Street Veterinary Clinic,Boyne City,MI,49712,NVA,JAB Holdings
Banfield Brighton,Brighton,MI,48116,Banfield,Mars
VCA Brighton Animal Hospital,Brighton,MI,48116,VCA,Mars
Animal Emergency Hospital,Burton,MI,48529,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Animal Emergency and Specialty Hospital of Byron Center,Byron Center,MI,49315,Ethos Veterinary Health,JAB Holdings
Meyer Veterinary Clinic,Cadillac,MI,49601,Heartland Veterinary Partners,Gryphon Investors
Lilley Veterinary Medical Center,Canton,MI,48187,NVA,JAB Holdings
Advanced Veterinary Care Group,Canton Township,MI,48188,Heartland Veterinary Partners,Gryphon Investors
UrgentVet Canton,Canton Township,MI,48187,American Veterinary Group,Oak Hill Capital
Apple Grove Veterinary Care,Charlotte,MI,48813,VetCor,Harvest Partners
Banfield Chesterfield,Chesterfield,MI,48051,Banfield,Mars
Advanced Pet Care of Oakland,Clarkston,MI,48346,NVA,JAB Holdings
Clarkston Animal Medical Center,Clarkston,MI,48346,VetCor,Harvest Partners
Patterson Veterinary Hospital,Clinton Township,MI,48035,Heartland Veterinary Partners,Gryphon Investors
Snider Veterinary Services,Clinton Township,MI,48038,PetVet Care Centers,KKR
VCA Clinton Township Animal Hospital,Clinton Township,MI,48038,VCA,Mars
Great Lakes Animal Hospital,Clinton Twp,MI,48038,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Wil-O-Paw Animal Hospital,Coloma,MI,49038,Mission Pet Health,Silver Lake and Shore Capital Partners
MedVet Commerce,Commerce,MI,48390,MedVet,Minority stake by Leonard Green & Partners
VetSelect Animal Hospital of Commerce Township,Commerce Township,MI,48390,VetCor,Harvest Partners
West Michigan Veterinary Service,Coopersville,MI,49404,PetVet Care Centers,KKR
Dunckel Veterinary Hospital,Davison,MI,48423,Mission Pet Health,Silver Lake and Shore Capital Partners
Dearborn Family Pet Care,Dearborn,MI,48124,VetCor,Harvest Partners
VetSelect Animal Hospital of Dearborn,Dearborn,MI,48124,VetCor,Harvest Partners
House Calls Veterinary Hospital,Eagle,MI,48822,EverVet Partners,Freeman Spogli and Tailwind Capital
East Lansing Veterinary Clinic,East Lansing,MI,48823,VetCor,Harvest Partners
Center for Animal Health,Edwardsburg,MI,49112,VetCor,Harvest Partners
"Bay Animal Hospital (Essexville, MI)",Essexville,MI,48732,Western Veterinary Partners,Tyree & D'Angelo Partners
BluePearl Pet Neurology Farmington,Farmington,MI,48336,BluePearl Pet Hospital,Mars
Advanced Veterinary Medical Center,Farmington Hills,MI,48336,Heartland Veterinary Partners,Gryphon Investors
Angel Animal Hospital,Farmington Hills,MI,48335,PetVet Care Centers,KKR
VCA Farmington Hills Animal Hospital,Farmington Hills,MI,48334,VCA,Mars
Riverside Animal Hospital,Flushing,MI,48433,VetCor,Harvest Partners
Fowlerville Veterinary Clinic,Fowlerville,MI,48836,Mission Pet Health,Silver Lake and Shore Capital Partners
Countryside Animal Health Center,Freeland,MI,48623,Mission Pet Health,Silver Lake and Shore Capital Partners
Morrison Animal Hospital,Garden City,MI,48135,Mission Pet Health,Silver Lake and Shore Capital Partners
Hall Veterinary Clinic,Gaylord,MI,49735,Heartland Veterinary Partners,Gryphon Investors
Gibraltar Veterinary Hospital,Gibraltar,MI,48173,Mission Pet Health,Silver Lake and Shore Capital Partners
North M-18 Veterinary Clinic,Gladwin,MI,48624,Blue River PetCare,Partners Group
Animal Dermatology Clinic,Grand Blanc,MI,48439,Animal Dermatology Clinic,Percheron Capital
Briarwood Veterinary Hospital,Grand Blanc,MI,48439,VetCor,Harvest Partners
Cross Veterinary Clinic,Grand Blanc,MI,48439,Western Veterinary Partners,Tyree & D'Angelo Partners
Haven Animal Hospital,Grand Haven,MI,49417,NVA,JAB Holdings
Prelesnik Animal Hospital,Grand Haven,MI,49417,Heartland Veterinary Partners,Gryphon Investors
Animal Emergency and Specialty Hospital of Grand Rapids (AESH Grand Rapids),Grand Rapids,MI,49525,Ethos Veterinary Health,JAB Holdings
BluePearl Pet Hospital Grand Rapids,Grand Rapids,MI,49546,BluePearl Pet Hospital,Mars
Cat Clinic North,Grand Rapids,MI,49525,VetCor,Harvest Partners
Eastown Veterinary Clinic,Grand Rapids,MI,49506,Western Veterinary Partners,Tyree & D'Angelo Partners
Forest Hills Veterinary Clinic,Grand Rapids,MI,49546,Heartland Veterinary Partners,Gryphon Investors
Lovet Alpine,Grand Rapids,MI,49544,Lovet Pet Health,The Aspen Group
Lovet Beltline,Grand Rapids,MI,49525,Lovet Pet Health,The Aspen Group
Lovet Breton,Grand Rapids,MI,49506,Lovet Pet Health,The Aspen Group
Lovet Standale,Grand Rapids,MI,49534,Lovet Pet Health,The Aspen Group
The Cottages at Cat Clinic North,Grand Rapids,MI,49525,VetCor,Harvest Partners
VCA Knapp's Corner Animal Hospital,Grand Rapids,MI,49525,VCA,Mars
VCA Northeast Animal Hospital,Grand Rapids,MI,49503,VCA,Mars
Grass Lake Animal Hospital,Grass Lake,MI,49240,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Grayling Hospital For Animals,Grayling,MI,49738,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Countryside Animal Hospital of Hamburg,Hamburg,MI,48139,VCA,Mars
Kern Road Veterinary Clinic,Handy Township,MI,48836,Blue River PetCare,Partners Group
Bay Pines Veterinary Clinic,Harbor Springs,MI,49740,NVA,JAB Holdings
Harper Woods Veterinary Hospital,Harper Woods,MI,48225,Heartland Veterinary Partners,Gryphon Investors
Seidl Veterinary Hospital,Hastings,MI,49058,VetCor,Harvest Partners
Highland Veterinary Hospital,Highland,MI,48357,VetCor,Harvest Partners
Roadside Veterinary Clinic,Highland,MI,48357,Mission Pet Health,Silver Lake and Shore Capital Partners
Ottawa Animal Hospital East,Holland,MI,49424,Mission Pet Health,Silver Lake and Shore Capital Partners
Ottawa Animal Hospital West,Holland,MI,49424,Mission Pet Health,Silver Lake and Shore Capital Partners
Platte Lake Veterinary Clinic,Honor,MI,49640,Heartland Veterinary Partners,Gryphon Investors
Town Center Veterinary Associates,Howell,MI,48843,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Countryside Animal Hospital of Howell,Howell,MI,48843,VCA,Mars
Imlay City Veterinary Clinic,Imlay City,MI,48444,Mission Pet Health,Silver Lake and Shore Capital Partners
Indian River Veterinary Clinic,Indian River,MI,49749,Mission Pet Health,Silver Lake and Shore Capital Partners
Ithaca Animal Hospital,Ithaca,MI,48847,Western Veterinary Partners,Tyree & D'Angelo Partners
Brooklyn Road Veterinary Clinic,Jackson,MI,49201,Western Veterinary Partners,Tyree & D'Angelo Partners
VCA Jackson Animal Hospital,Jackson,MI,49201,VCA,Mars
Kalamazoo Cat Hospital,Kalamazoo,MI,49009,VetCor,Harvest Partners
Oakwood Animal Hospital,Kalamazoo,MI,49008,NVA,JAB Holdings
Pet Vet Family Pet Care Center,Kalamazoo,MI,49009,O'Brien Veterinary Group,Family owned corporate consolidator
Sprinkle Road Veterinary Clinic,Kalamazoo,MI,49001,VetCor,Harvest Partners
VCA Oshtemo Animal Hospital,Kalamazoo,MI,49009,VCA,Mars
VCA Texas Corners Animal Hospital,Kalamazoo,MI,49009,VCA,Mars
